WATERBODY_CODE,LATITUDE,LONGITUDE,SPECIES_NAME,name,SAMPLE_DATE,Netting_Start_Date,Netting_End_Date,Len2mm,Total_Length,WEIGHT,Round_Weight,SexID,Sex_ID,VALUE,Aging_Structure,Assessed_Fish_Age,Assessed_Age_Confidence,Waterbody_LID,ON_Hg_BSM_years_ID,qryContaminant_link_fish_age_date_tissue_ID,Tissues_Sampled,Contaminant_Samples_Taken,FN3_individual_fish_id
44247824,442319,782334,Walleye,Walleye,2009-06-24,2009-06-23,2009-06-24,592,592,2000,2000,2,2,0.62,Dorsal Spine,12,6,17-7076-49181,811,29040,1,Yes,205938
44247824,442319,782334,Walleye,Walleye,2009-06-24,2009-06-23,2009-06-24,555,555,2100,2100,1,1,0.64,Otolith,12,8,17-7076-49181,812,29051,1,Yes,206864
44247824,442319,782334,Walleye,Walleye,2009-06-24,2009-06-23,2009-06-24,385,385,575,575,2,2,0.13,Dorsal Spine,3,8,17-7076-49181,814,29041,1,Yes,205981
44247824,442319,782334,Walleye,Walleye,2009-06-24,2009-06-23,2009-06-24,494,494,1075,1075,2,2,0.17,Otolith,6,8,17-7076-49181,815,29042,1,Yes,205980
44247824,442319,782334,Walleye,Walleye,2009-06-24,2009-06-23,2009-06-24,420,420,600,600,2,2,0.13,Dorsal Spine,4,7,17-7076-49181,817,29039,1,Yes,205968
44247824,442319,782334,Walleye,Walleye,2009-06-26,2009-06-25,2009-06-26,328,328,250,250,2,2,0.16,Dorsal Spine,5,8,17-7076-49181,819,29047,1,Yes,206931
44257633,442551,763324,Northern Pike,Northern Pike,2010-07-26,2010-07-26,2010-07-27,690,690,2300,2300,2,2,0.94,Cleithrum,8,5,18-3760-49200,820,30796,1,Yes,311071
44257633,442551,763324,Northern Pike,Northern Pike,2010-07-26,2010-07-26,2010-07-27,745,745,2200,2200,2,2,1.1,Cleithrum,8,6,18-3760-49200,821,30797,1,Yes,311382
44257633,442551,763324,Northern Pike,Northern Pike,2010-07-26,2010-07-26,2010-07-27,670,670,1900,1900,2,2,0.87,Cleithrum,8,6,18-3760-49200,825,30798,1,Yes,311383
44257633,442551,763324,Northern Pike,Northern Pike,2010-07-26,2010-07-26,2010-07-27,561,561,1050,1050,1,1,0.45,Cleithrum,5,7,18-3760-49200,827,30799,1,Yes,311418
44257633,442551,763324,Northern Pike,Northern Pike,2010-07-26,2010-07-26,2010-07-27,426,426,465,465,2,2,0.28,Scales (left side),3,5,18-3760-49200,834,30800,1,Yes,311419
44257742,442523,774206,Smallmouth Bass,Smallmouth Bass,2008-08-20,2008-08-19,2008-08-20,301,301,390,390,2,2,0.27,Scales (left side),6,7,18-2850-49215,842,28961,1X,Yes,132694
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-02,2008-07-02,2008-07-03,521,521,700,700,1,1,0.7,,,,17-6058-49199,911,28473,1,Yes,114293
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-02,2008-07-02,2008-07-03,505,505,645,645,2,2,0.35,,,,17-6058-49199,914,28470,1,Yes,114292
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-02,2008-07-02,2008-07-03,512,512,640,640,2,2,0.52,,,,17-6058-49199,916,28474,1,Yes,114290
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-03,2008-07-03,2008-07-04,769,769,3200,3200,2,2,0.55,,,,17-6058-49199,917,28462,1,Yes,114128
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-03,2008-07-03,2008-07-04,563,563,900,900,1,1,0.24,,,,17-6058-49199,918,28464,1,Yes,113956
44257940,442536,794015,Walleye,Walleye,2008-07-03,2008-07-03,2008-07-04,567,567,1750,1750,1,1,1.1,Scales (left side),9,5,17-6058-49199,920,28466,1,Yes,114140
44257940,442536,794015,Walleye,Walleye,2008-07-03,2008-07-03,2008-07-04,608,608,2200,2200,1,1,1.1,Otolith,14,8,17-6058-49199,921,28465,1,Yes,114129
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-03,2008-07-03,2008-07-04,484,484,600,600,1,1,0.36,,,,17-6058-49199,922,28468,1,Yes,114145
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,490,490,600,600,2,2,0.37,,,,17-6058-49199,925,28457,1,Yes,114030
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,578,578,1100,1100,1,1,0.27,,,,17-6058-49199,926,28456,1,Yes,114031
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,470,470,500,500,1,1,0.34,,,,17-6058-49199,927,28461,1,Yes,114042
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,585,585,1100,1100,2,2,0.47,,,,17-6058-49199,928,28460,1,Yes,113957
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,523,523,700,700,1,1,0.36,,,,17-6058-49199,929,28455,1,Yes,114032
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,550,550,850,850,2,2,0.3,,,,17-6058-49199,930,28458,1,Yes,113959
44257940,442536,794015,Northern Pike,Northern Pike,2008-07-07,2008-07-07,2008-07-08,526,526,750,750,2,2,0.39,,,,17-6058-49199,931,28459,1,Yes,113958
44267613,442603,761317,Northern Pike,Northern Pike,2010-08-25,2010-08-25,2010-08-26,726,726,2000,2000,2,2,0.34,Cleithrum,4,6,18-4028-49206,935,30775,1,Yes,329921
44267613,442603,761317,Northern Pike,Northern Pike,2010-08-25,2010-08-25,2010-08-26,615,615,1490,1490,1,1,0.19,Cleithrum,3,7,18-4028-49206,936,30779,1,Yes,329836
44267613,442603,761317,Northern Pike,Northern Pike,2010-08-25,2010-08-25,2010-08-26,570,570,1250,1250,2,2,0.14,Cleithrum,2,7,18-4028-49206,937,30773,1,Yes,329920
44267613,442603,761317,Northern Pike,Northern Pike,2010-08-25,2010-08-25,2010-08-26,570,570,1050,1050,1,1,0.15,Cleithrum,2,7,18-4028-49206,938,30776,1,Yes,329918
44267613,442603,761317,Northern Pike,Northern Pike,2010-08-25,2010-08-25,2010-08-26,517,517,900,900,2,2,0.13,Scales (left side),2,8,18-4028-49206,940,30774,1,Yes,329919
44267613,442603,761317,Northern Pike,Northern Pike,2010-08-25,2010-08-25,2010-08-26,478,478,810,810,2,2,0.1,Scales (left side),1,8,18-4028-49206,942,30777,1,Yes,329833
44277816,442727,781531,Walleye,Walleye,2009-06-17,2009-06-16,2009-06-17,412,412,700,700,2,2,0.18,Dorsal Spine,3,5,17-7182-49263,946,29072,1,Yes,205069
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-17,2009-06-16,2009-06-17,445,445,1200,1200,2,2,0.4,Scales (left side),11,6,17-7182-49263,947,29073,1,Yes,205485
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-17,2009-06-16,2009-06-17,396,396,800,800,2,2,0.44,Scales (left side),6,8,17-7182-49263,948,29062,1,Yes,204949
44277816,442727,781531,Walleye,Walleye,2009-06-17,2009-06-16,2009-06-17,460,460,1100,1100,2,2,0.22,Otolith,4,9,17-7182-49263,951,29061,1,Yes,204950
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-18,2009-06-18,2009-06-19,335,335,500,500,2,2,0.27,Scales (left side),7,6,17-7182-49263,956,29065,1,Yes,205063
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-18,2009-06-18,2009-06-19,403,403,825,825,1,1,0.24,Scales (left side),8,6,17-7182-49263,959,29066,1,Yes,205117
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-18,2009-06-17,2009-06-18,386,386,750,750,2,2,0.25,Scales (left side),7,7,17-7182-49263,952,29068,1,Yes,205130
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-18,2009-06-17,2009-06-18,462,462,1450,1450,2,2,0.41,Scales (left side),11,5,17-7182-49263,953,29067,1,Yes,205064
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-18,2009-06-17,2009-06-18,429,429,1200,1200,2,2,0.28,Scales (left side),7,5,17-7182-49263,954,29070,1,Yes,205068
44277816,442727,781531,Walleye,Walleye,2009-06-18,2009-06-17,2009-06-18,409,409,600,600,2,2,0.27,Dorsal Spine,4,8,17-7182-49263,955,29075,1,Yes,489584
44277816,442727,781531,Walleye,Walleye,2009-06-18,2009-06-17,2009-06-18,584,584,1900,1900,2,2,0.48,Otolith,11,8,17-7182-49263,957,29069,1,Yes,205067
44277816,442727,781531,Walleye,Walleye,2009-06-18,2009-06-17,2009-06-18,455,455,950,950,2,2,0.2,Otolith,4,8,17-7182-49263,958,29071,1,Yes,205232
44277816,442727,781531,Smallmouth Bass,Smallmouth Bass,2009-06-19,2009-06-18,2009-06-19,505,505,2000,2000,2,2,0.64,Scales (left side),16,5,17-7182-49263,960,29064,1,Yes,205062
44277830,442815,782941,Walleye,Walleye,2009-07-10,2009-07-09,2009-07-10,359,359,425,425,2,2,0.19,Scales (left side),4,7,17-6992-49270,984,29105,1,Yes,232684
44277830,442815,782941,Walleye,Walleye,2009-07-10,2009-07-09,2009-07-10,306,306,225,225,2,2,0.15,Scales (left side),4,7,17-6992-49270,985,29106,1,Yes,232300
44277830,442815,782941,Smallmouth Bass,Smallmouth Bass,2009-07-10,2009-07-09,2009-07-10,470,470,1590,1590,2,2,0.42,Scales (left side),10,5,17-6992-49270,986,29107,1,Yes,232302
44277830,442815,782941,Walleye,Walleye,2009-07-10,2009-07-09,2009-07-10,628,628,2200,2200,2,2,0.58,Otolith,12,8,17-6992-49270,987,29108,1,Yes,232305
44277830,442815,782941,Walleye,Walleye,2009-07-15,2009-07-14,2009-07-15,599,599,2100,2100,2,2,0.61,Scales (left side),9,5,17-6992-49270,988,29102,1,Yes,232614
44277830,442815,782941,Walleye,Walleye,2009-07-15,2009-07-14,2009-07-15,504,504,1100,1100,2,2,0.47,Otolith,7,9,17-6992-49270,989,29100,1,Yes,232298
44277830,442815,782941,Walleye,Walleye,2009-07-15,2009-07-14,2009-07-15,364,364,390,390,1,1,0.19,Otolith,8,9,17-6992-49270,990,29103,1,Yes,232615
44277830,442815,782941,Walleye,Walleye,2009-07-15,2009-07-14,2009-07-15,331,331,300,300,2,2,0.17,Scales (left side),5,7,17-6992-49270,991,29099,1,Yes,232514
44277830,442815,782941,Walleye,Walleye,2009-07-15,2009-07-14,2009-07-15,326,326,250,250,1,1,0.11,Scales (left side),3,7,17-6992-49270,992,29101,1,Yes,232552
44277830,442815,782941,Walleye,Walleye,2009-07-16,2009-07-15,2009-07-16,398,398,600,600,2,2,0.22,Scales (left side),3,7,17-6992-49270,993,29098,1,Yes,232297
44277830,442815,782941,Walleye,Walleye,2009-07-17,2009-07-16,2009-07-17,317,317,260,260,1,1,0.16,Scales (left side),4,6,17-6992-49270,994,29097,1,Yes,232294
44277830,442815,782941,Walleye,Walleye,2009-07-17,2009-07-16,2009-07-17,322,322,290,290,2,2,0.18,Scales (left side),4,6,17-6992-49270,995,29096,1,Yes,232410
44277830,442815,782941,Smallmouth Bass,Smallmouth Bass,2009-08-18,2009-08-17,2009-08-18,388,388,800,800,1,1,0.37,Scales (left side),10,7,17-6992-49270,996,29092,1,Yes,232306
44277830,442815,782941,Smallmouth Bass,Smallmouth Bass,2009-08-18,2009-08-17,2009-08-18,274,274,200,200,2,2,0.37,Scales (left side),7,3,17-6992-49270,997,29109,1,Yes,232814
44277830,442815,782941,Walleye,Walleye,2009-08-18,2009-08-17,2009-08-18,475,475,800,800,2,2,0.23,Otolith,7,9,17-6992-49270,998,29095,1,Yes,232309
44277830,442815,782941,Walleye,Walleye,2009-08-18,2009-08-17,2009-08-18,435,435,636,636,2,2,0.23,Otolith,6,9,17-6992-49270,999,29094,1,Yes,232308
44277830,442815,782941,Walleye,Walleye,2009-08-18,2009-08-17,2009-08-18,325,325,300,300,2,2,0.18,Scales (left side),4,7,17-6992-49270,1000,29093,1,Yes,232307
44297823,442904,782345,Walleye,Walleye,2008-07-02,2008-07-02,2008-07-03,361,361,390,390,2,2,0.11,Dorsal Spine,4,7,17-7074-49293,1028,28877,1,Yes,116147
44297823,442904,782345,Walleye,Walleye,2008-07-02,2008-07-02,2008-07-03,448,448,800,800,1,1,0.19,Otolith,6,9,17-7074-49293,1030,28875,1,Yes,116106
44297823,442904,782345,Walleye,Walleye,2008-07-02,2008-07-02,2008-07-03,552,552,1700,1700,1,1,0.52,Otolith,11,9,17-7074-49293,1035,28873,1,Yes,115747
44297823,442904,782345,Walleye,Walleye,2008-07-02,2008-07-02,2008-07-03,340,340,310,310,1,1,0.11,Dorsal Spine,3,8,17-7074-49293,1039,28876,1,Yes,116148
44297823,442904,782345,Walleye,Walleye,2008-07-02,2008-07-02,2008-07-03,409,409,700,700,2,2,0.09,Dorsal Spine,3,8,17-7074-49293,1043,28874,1,Yes,116107
44307727,442914,772713,Smallmouth Bass,Smallmouth Bass,2010-06-23,2010-06-23,2010-06-24,384,384,778,778,2,2,0.74,Dorsal Spine,9,6,18-3050-49285,1096,30626,1,Yes,300643
